"gene","trait","GS","pVal","moduleMembership","degree","module","hubGeneSignificance","moduleSignificance"
"CXCR3.2833","ips_ctla4_pos_pd1_neg",0.36620576045543,1.38560791668316e-14,0.840199496760835,254.808239442894,"turquoise",0.00223266155411915,0.1388540244247
"CXCR6.10663","ips_ctla4_pos_pd1_neg",0.372414356397929,4.56576669613696e-15,0.839770064260199,248.495988720025,"turquoise",0.00223266155411915,0.1388540244247
"CYTH4.27128","ips_ctla4_pos_pd1_neg",0.232216621688672,1.78757371552032e-06,0.901966831760814,304.895431872619,"turquoise",0.00223266155411915,0.1388540244247
"CYTIP.9595","ips_ctla4_pos_pd1_neg",0.269081634111282,2.67698780710133e-08,0.885817182978945,286.479102261907,"turquoise",0.00223266155411915,0.1388540244247
"DOCK10.55619","ips_ctla4_pos_pd1_neg",0.209134211793706,1.7874120315566e-05,0.836957330553938,243.787776785739,"turquoise",0.00223266155411915,0.1388540244247
"DOCK2.1794","ips_ctla4_pos_pd1_neg",0.23306451229713,1.63487830990657e-06,0.943177035500398,348.008270160219,"turquoise",0.00223266155411915,0.1388540244247
"DOCK8.81704","ips_ctla4_pos_pd1_neg",0.229363035344453,2.40821965519372e-06,0.921059799923537,321.638816852284,"turquoise",0.00223266155411915,0.1388540244247
"DOK2.9046","ips_ctla4_pos_pd1_neg",0.216635375373622,8.68855931761285e-06,0.872117090734585,279.364094982169,"turquoise",0.00223266155411915,0.1388540244247
"DOK3.79930","ips_ctla4_pos_pd1_neg",0.205835976998647,2.43479105375154e-05,0.860948786350855,271.684379328128,"turquoise",0.00223266155411915,0.1388540244247
"EVI2B.2124","ips_ctla4_pos_pd1_neg",0.220463378348809,5.95344906393575e-06,0.933478576482725,333.719864801884,"turquoise",0.00223266155411915,0.1388540244247
"FAM78A.286336","ips_ctla4_pos_pd1_neg",0.232741242993483,1.69156068414813e-06,0.842216816935304,257.975617330728,"turquoise",0.00223266155411915,0.1388540244247
"FERMT3.83706","ips_ctla4_pos_pd1_neg",0.227675750707449,2.86713566293644e-06,0.887979268971357,295.477342740833,"turquoise",0.00223266155411915,0.1388540244247
"FGD2.221472","ips_ctla4_pos_pd1_neg",0.29157757480139,1.47866819714484e-09,0.858708637694517,266.131033223304,"turquoise",0.00223266155411915,0.1388540244247
"FGL2.10875","ips_ctla4_pos_pd1_neg",0.213803375008617,1.14427746858981e-05,0.883613890584934,287.149764633698,"turquoise",0.00223266155411915,0.1388540244247
"FLI1.2313","ips_ctla4_pos_pd1_neg",0.220033816380018,6.21352383091604e-06,0.870880004006348,272.31788422904,"turquoise",0.00223266155411915,0.1388540244247
"FMNL1.752","ips_ctla4_pos_pd1_neg",0.264298918653407,4.79375468493165e-08,0.850430489488118,259.780856302345,"turquoise",0.00223266155411915,0.1388540244247
"GIMAP1.170575","ips_ctla4_pos_pd1_neg",0.288589777487472,2.20518348689943e-09,0.855222607321235,267.102126644043,"turquoise",0.00223266155411915,0.1388540244247
"GIMAP2.26157","ips_ctla4_pos_pd1_neg",0.355221405538706,9.32056301131321e-14,0.843860039053001,238.780903548888,"turquoise",0.00223266155411915,0.1388540244247
"GIMAP4.55303","ips_ctla4_pos_pd1_neg",0.260644875217565,7.42437804447944e-08,0.940171682439522,335.964459083016,"turquoise",0.00223266155411915,0.1388540244247
"GIMAP5.55340","ips_ctla4_pos_pd1_neg",0.308150718652823,1.47861215591734e-10,0.914836932448089,312.242698797643,"turquoise",0.00223266155411915,0.1388540244247
"GIMAP6.474344","ips_ctla4_pos_pd1_neg",0.260021685344063,7.99419862875792e-08,0.896487365784855,296.642213412712,"turquoise",0.00223266155411915,0.1388540244247
"GIMAP7.168537","ips_ctla4_pos_pd1_neg",0.3203024737134,2.48708201426553e-11,0.902407171500331,298.08746748711,"turquoise",0.00223266155411915,0.1388540244247
"GMFG.9535","ips_ctla4_pos_pd1_neg",0.274872867517603,1.30191695783871e-08,0.927578118035957,322.600544990541,"turquoise",0.00223266155411915,0.1388540244247
"GNGT2.2793","ips_ctla4_pos_pd1_neg",0.269859950721364,2.43219852536221e-08,0.822765876626948,228.961324231947,"turquoise",0.00223266155411915,0.1388540244247
"GPR174.84636","ips_ctla4_pos_pd1_neg",0.254958738395333,1.44745811607615e-07,0.800941674110206,224.329478988756,"turquoise",0.00223266155411915,0.1388540244247
"GPSM3.63940","ips_ctla4_pos_pd1_neg",0.286602725283012,2.86921098722786e-09,0.908840463814777,306.757366864652,"turquoise",0.00223266155411915,0.1388540244247
"GVIN1.387751","ips_ctla4_pos_pd1_neg",0.227076971846167,3.04924371389233e-06,0.815403028970026,237.595477962851,"turquoise",0.00223266155411915,0.1388540244247
"GYPC.2995","ips_ctla4_pos_pd1_neg",0.291223159810444,1.5508370162512e-09,0.80175995279552,214.971353479189,"turquoise",0.00223266155411915,0.1388540244247
"GZMK.3003","ips_ctla4_pos_pd1_neg",0.316865052714933,4.15198107198605e-11,0.837827404618908,243.000686735401,"turquoise",0.00223266155411915,0.1388540244247
"HCST.10870","ips_ctla4_pos_pd1_neg",0.288862195669084,2.12668231596521e-09,0.912772893859177,311.564496034888,"turquoise",0.00223266155411915,0.1388540244247
"HLA.DMA.3108","ips_ctla4_pos_pd1_neg",0.300674525000386,4.25435693843441e-10,0.893788003448707,291.822254228704,"turquoise",0.00223266155411915,0.1388540244247
"HLA.DMB.3109","ips_ctla4_pos_pd1_neg",0.25815958324695,9.95953251194724e-08,0.915714083084771,314.22714749052,"turquoise",0.00223266155411915,0.1388540244247
"HLA.DOA.3111","ips_ctla4_pos_pd1_neg",0.242809348831024,5.71731466882509e-07,0.856574028055669,259.525267204391,"turquoise",0.00223266155411915,0.1388540244247
"HLA.DPA1.3113","ips_ctla4_pos_pd1_neg",0.282066817089475,5.19268021132158e-09,0.890098465010378,293.527144092221,"turquoise",0.00223266155411915,0.1388540244247
"HLA.DPB1.3115","ips_ctla4_pos_pd1_neg",0.286755519624937,2.81192440126816e-09,0.882918448668903,289.47750200528,"turquoise",0.00223266155411915,0.1388540244247
"HLA.DRA.3122","ips_ctla4_pos_pd1_neg",0.254118534452286,1.59538411499346e-07,0.895824843522217,298.21774343597,"turquoise",0.00223266155411915,0.1388540244247
"HLA.DRB1.3123","ips_ctla4_pos_pd1_neg",0.256871563316974,1.15834512409601e-07,0.852019388539727,254.039166296722,"turquoise",0.00223266155411915,0.1388540244247
"ICAM3.3385","ips_ctla4_pos_pd1_neg",0.323422837475829,1.55305140655379e-11,0.804884072239758,221.271761067643,"turquoise",0.00223266155411915,0.1388540244247
